,title,author,theme,genre,volumes,info,img_element,paga_url
23,葬送のフリーレン,山田鐘人,SF・ファンタジー,少年マンガ,既刊10巻,魔王を倒した勇者一行の後日譚ファンタジー　魔王を倒した勇者一行の“その後”。魔法使いフリーレンはエルフであり、他の３人と違う部分があります。彼女が“後”の世界で生きること、感じることとは――　残った者たちが紡ぐ、葬送と祈りとは――　物語は“冒険の終わり”から始まる。英雄たちの“生き様”を物語る、後日譚（アフター）ファンタジー！,https://comicspace.jp/title/122697,https://comicspace.jp//title/122697
24,ミステリと言う勿れ,田村 由美,ミステリー・サスペンス,女性マンガ,既刊12巻,"話題沸騰★青年・久能整!ついに登場!! 

『BASARA』『7SEEDS』の田村由美、超ひさびさの新シリーズがついに始動!! その主人公は、たった一人の青年!
しかも謎めいた、天然パーマの久能 整(くのう ととのう)なのです!!

解決解読青年・久能 整、颯爽登場の第一巻!!

冬のある、カレー日和。アパートの部屋で大学生・整がタマネギをザク切りしていると・・・警察官がやってきて・・・!?

突然任意同行された整に、近隣で起こった殺人事件の容疑がかけられる。
しかもその被害者は、整の同級生で・・・。
次々に容疑を裏付ける証拠を突きつけられた整はいったいどうなる・・・???",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098718847.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/110891
25,宇宙兄弟,小山宙哉,ヒューマンドラマ,青年マンガ,既刊42巻,"２０２５年、ＮＡＳＡは日本人宇宙飛行士・南波ヒビトを含む、第１次月面長期滞在クルーのメンバーを発表。時を同じくして日本では、自動車の設計をしていた南波ムッタが会社をクビに。大きく異なった運命を歩んでいたふたりの兄弟。しかしそれぞれの未来が、幼少時代に交したある約束によって、動き出そうとしていた。

幼少時代、星空を眺めながら約束を交わした兄・六太と弟・日々人。2025年、弟は約束どおり宇宙飛行士となり、月面の第1次長期滞在クルーの一員となっていた。一方、会社をクビになり、無職の兄・六太。弟からの1通のメールで、兄は再び宇宙を目指しはじめる。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065300789.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/60086
26,ワールドトリガー,葦原大介,SF・ファンタジー,少年マンガ,既刊26巻,異次元からの侵略者「近界民」の脅威にさらされている三門市。そこに住む少し正義感の強い中学生・三雲修は、謎の転校生・空閑遊真と出会う。遊真の行動に振り回される修の運命は!? 最新型SFアクション始動!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088834615.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65474
27,バクマン。 BAKUMAN,大場つぐみ,ヒューマンドラマ,少年マンガ,完結・全20巻,二人の少年がコンビを組んで漫画家を目指していくストーリーの大人気マンガ。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088704665.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65573
28,かぐや様は告らせたい 〜天才たちの恋愛頭脳戦〜,赤坂アカ,恋愛・ラブコメ,青年マンガ,完結・全28巻,"「恋愛は告白した方が負けなのである!」
家柄も人柄も良し!! 将来を期待された秀才が集う秀知院学園!! その生徒会で出会った、副会長・四宮かぐやと会長・白銀御行は互いに惹かれているはずだが…何もないまま半年が経過!! プライドが高く素直になれない2人は、面倒臭いことに、“如何に相手に告白させるか""ばかりを考えるようになってしまった!? 恋愛は成就するまでが楽しい!! 新感覚“頭脳戦""ラブコメ、開戦!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088925343.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66212
29,東京喰種 トーキョーグール,石田スイ,SF・ファンタジー,青年マンガ,完結・全14巻,“東京”には、或るひとつの「絶望」が潜む…。群衆に紛れ、人間を狩り、その死肉を喰す怪人、人はそれを「喰種（グール）」と呼ぶ。青年が怪人に邂逅したとき、数奇な運命が廻り始める──！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088900316.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65794
30,寄生獣,岩明均,SF・ファンタジー,青年マンガ,完結・全10巻,右手に寄生生物・ミギーを宿した泉新一はミギーと共に他の寄生生物と戦い続ける。”人間とは何か”を問う問題作。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4063141071.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/6728
31,ジョジョの奇妙な冒険,荒木飛呂彦,SF・ファンタジー,少年マンガ,完結・全63巻,19世紀末、英国貴族、ジョースター卿は恩人の息子、ディオを養子にする。だがディオは本当の息子、ジョナサン（ジョジョ）を退け、財産の横取りを計画。謎の石仮面でジョジョを殺そうとする。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088727096.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/13770
32,Dr.STONE,Boichi,SF・ファンタジー,少年マンガ,完結・全26巻,一瞬にして世界中すべての人間が石と化す、謎の現象に巻き込まれた高校生の大樹。数千年後──。目覚めた大樹とその友・千空はゼロから文明を作ることを決意する!! 空前絶後のSFサバイバル冒険譚、開幕!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088831608.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/107702
33,ワンパンマン,村田雄介,バトル・アクション,少年マンガ,既刊28巻,一撃必殺！　強くなりすぎて、どんな凶悪な怪人もワンパンチで倒してしまうヒーロー“サイタマ”。平熱系最強ヒーローの伝説開幕!!　WEB界のカリスマと超絶絵師タッグが贈る、日常ノックアウトコミック!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088835867.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/65460
